Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP001002,1.0,No,0,Graduate,No,5849,0.0,,360.0,1.0,Urban,1
LP001003,1.0,Yes,1,Graduate,No,4583,1508.0,128.0,360.0,1.0,Rural,0
LP001005,1.0,Yes,0,Graduate,Yes,3000,0.0,66.0,360.0,1.0,Urban,1
LP001006,1.0,Yes,0,Not Graduate,No,2583,2358.0,120.0,360.0,1.0,Urban,1
LP001008,1.0,No,0,Graduate,No,6000,0.0,141.0,360.0,1.0,Urban,1
LP001011,1.0,Yes,2,Graduate,Yes,5417,4196.0,267.0,360.0,1.0,Urban,1
LP001013,1.0,Yes,0,Not Graduate,No,2333,1516.0,95.0,360.0,1.0,Urban,1
LP001014,1.0,Yes,3+,Graduate,No,3036,2504.0,158.0,360.0,0.0,Semiurban,0
LP001018,1.0,Yes,2,Graduate,No,4006,1526.0,168.0,360.0,1.0,Urban,1
LP001020,1.0,Yes,1,Graduate,No,12841,10968.0,349.0,360.0,1.0,Semiurban,0
LP001024,1.0,Yes,2,Graduate,No,3200,700.0,70.0,360.0,1.0,Urban,1
LP001027,1.0,Yes,2,Graduate,,2500,1840.0,109.0,360.0,1.0,Urban,1
LP001028,1.0,Yes,2,Graduate,No,3073,8106.0,200.0,360.0,1.0,Urban,1
LP001029,1.0,No,0,Graduate,No,1853,2840.0,114.0,360.0,1.0,Rural,0
LP001030,1.0,Yes,2,Graduate,No,1299,1086.0,17.0,120.0,1.0,Urban,1
LP001032,1.0,No,0,Graduate,No,4950,0.0,125.0,360.0,1.0,Urban,1
LP001034,1.0,No,1,Not Graduate,No,3596,0.0,100.0,240.0,,Urban,1
LP001036,0.0,No,0,Graduate,No,3510,0.0,76.0,360.0,0.0,Urban,0
LP001038,1.0,Yes,0,Not Graduate,No,4887,0.0,133.0,360.0,1.0,Rural,0
LP001041,1.0,Yes,0,Graduate,,2600,3500.0,115.0,,1.0,Urban,1
LP001043,1.0,Yes,0,Not Graduate,No,7660,0.0,104.0,360.0,0.0,Urban,0
LP001046,1.0,Yes,1,Graduate,No,5955,5625.0,315.0,360.0,1.0,Urban,1
LP001047,1.0,Yes,0,Not Graduate,No,2600,1911.0,116.0,360.0,0.0,Semiurban,0
LP001050,0.0,Yes,2,Not Graduate,No,3365,1917.0,112.0,360.0,0.0,Rural,0
LP001052,1.0,Yes,1,Graduate,,3717,2925.0,151.0,360.0,,Semiurban,0
LP001066,1.0,Yes,0,Graduate,Yes,9560,0.0,191.0,360.0,1.0,Semiurban,1
LP001068,1.0,Yes,0,Graduate,No,2799,2253.0,122.0,360.0,1.0,Semiurban,1
LP001073,1.0,Yes,2,Not Graduate,No,4226,1040.0,110.0,360.0,1.0,Urban,1
LP001086,1.0,No,0,Not Graduate,No,1442,0.0,35.0,360.0,1.0,Urban,0
LP001087,0.0,No,2,Graduate,,3750,2083.0,120.0,360.0,1.0,Semiurban,1
LP001091,1.0,Yes,1,Graduate,,4166,3369.0,201.0,360.0,,Urban,0
LP001095,1.0,No,0,Graduate,No,3167,0.0,74.0,360.0,1.0,Urban,0
LP001097,1.0,No,1,Graduate,Yes,4692,0.0,106.0,360.0,1.0,Rural,0
LP001098,1.0,Yes,0,Graduate,No,3500,1667.0,114.0,360.0,1.0,Semiurban,1
LP001100,1.0,No,3+,Graduate,No,12500,3000.0,320.0,360.0,1.0,Rural,0
LP001106,1.0,Yes,0,Graduate,No,2275,2067.0,,360.0,1.0,Urban,1
LP001109,1.0,Yes,0,Graduate,No,1828,1330.0,100.0,,0.0,Urban,0
LP001112,0.0,Yes,0,Graduate,No,3667,1459.0,144.0,360.0,1.0,Semiurban,1
LP001114,1.0,No,0,Graduate,No,4166,7210.0,184.0,360.0,1.0,Urban,1
LP001116,1.0,No,0,Not Graduate,No,3748,1668.0,110.0,360.0,1.0,Semiurban,1
LP001119,1.0,No,0,Graduate,No,3600,0.0,80.0,360.0,1.0,Urban,0
LP001120,1.0,No,0,Graduate,No,1800,1213.0,47.0,360.0,1.0,Urban,1
LP001123,1.0,Yes,0,Graduate,No,2400,0.0,75.0,360.0,,Urban,1
LP001131,1.0,Yes,0,Graduate,No,3941,2336.0,134.0,360.0,1.0,Semiurban,1
LP001136,1.0,Yes,0,Not Graduate,Yes,4695,0.0,96.0,,1.0,Urban,1
LP001137,0.0,No,0,Graduate,No,3410,0.0,88.0,,1.0,Urban,1
LP001138,1.0,Yes,1,Graduate,No,5649,0.0,44.0,360.0,1.0,Urban,1
LP001144,1.0,Yes,0,Graduate,No,5821,0.0,144.0,360.0,1.0,Urban,1
LP001146,0.0,Yes,0,Graduate,No,2645,3440.0,120.0,360.0,0.0,Urban,0
LP001151,0.0,No,0,Graduate,No,4000,2275.0,144.0,360.0,1.0,Semiurban,1
LP001155,0.0,Yes,0,Not Graduate,No,1928,1644.0,100.0,360.0,1.0,Semiurban,1
LP001157,0.0,No,0,Graduate,No,3086,0.0,120.0,360.0,1.0,Semiurban,1
LP001164,0.0,No,0,Graduate,No,4230,0.0,112.0,360.0,1.0,Semiurban,0
LP001179,1.0,Yes,2,Graduate,No,4616,0.0,134.0,360.0,1.0,Urban,0
